TILscore
LINC01215
HLA-DOB
TNFRSF9
IRAG2
LINC01619
CTLA4
CD69
IL10RA
FCRL3
RN7SL368P
PTPN22
AIM2
STAT4
PRDM8
TIGIT
GBP5
KLRK1
GPR84
SLA
GFI1
VAV3
CD247
CLEC4E
LINC02446
CYRIA
BTLA
TNFSF8
SYTL3
PTPRC
APOBEC3A
HSH2D
ZC3H12D
CRTAM
KLRD1
TRGC2
TNFAIP3
ZNF831
PATL2
AC015911.7
DTHD1
IL2RG
IPCEF1
SH2D1A
PTPN7
IRF1
RASSF5
SCML4
LIPN
RASGRP1
TCL1A
TAP1
SLA2
HCAR3
ITK
P2RY10
IL7R
CD38
ERMN
CYTIP
NT5C3AP2
CORO1A
ELAPOR1
RHOH
ARRDC5
RPL32P1
CST7
ZBTB32
CD7
ICOS
ARHGAP15
BIRC3
AL359962.2
PDCD1
C11orf21
HLA-F
NCR1
TAGAP
HLA-B
GPR18
DAPP1
CCR7
SNX20
TRBC1
TRAF3IP3
TRBC2
ARHGAP9
IL21R
FASLG
AC004847.1
NLRC5
LCP2
TESPA1
PIM2
HLA-C
HCST
PRDM1
CHI3L2
SP140
SRGN
CD2
FLT3
NOD2
IL12RB1
NCF1B
WDFY4
HLA-E
THEMIS
CLEC12A
ETV7
KLHDC7B
MAP3K8
TBC1D10C
GZMB
RGL4
SLAMF1
BISPR
TNIP3
TBX21
TAP2
TNFRSF1B
JAML
LINC01934
CD96
SAMSN1
IKZF1
CD8A
GBP2
TRAT1
CXCR4
SPDYA
CASS4
TRG-AS1
GPR132
DOK2
SLAMF6
LCP1
RUNX3
CCDC194
NUAK2
HCLS1
PSMB9
LINC00299
SGPP2
SLAMF7
TREML2
NCKAP1L
PRF1
SPOCK2
MIR222HG
NLRP3
AC144831.1
SPN
PIK3R5
NIBAN3
SIRPG
MIR22HG
CD53
AC079316.2
LY9
AC090617.5
CTSW
DGKA
ARHGAP30
WAKMAR2
IRF8
ZBED2
CD8B
SIDT1
STK17B
PARP15
ITGAL
DOCK2
TRAC
SP140L
HCP5
PCED1B-AS1
SHISAL2A
CCR5
IKZF3
INPP5D
PLAC8
JAK3
SLFN12L
AOAH
CD48
CD28
ARAP2
PLEK
AC079316.1
SECTM1
CCR4
GBP3
LINC00528
CD5
TOX
MEFV
ST8SIA4
AC243960.1
GPR15
GBP1
NFKBIZ
RN7SL600P
IL15
MYO1G
RAC2
LILRB2
RASAL3
IFITM1
ITGB2-AS1
C16orf54
TSPAN32
ACAP1
PIK3CG
CCL5
C1orf162
GPR171
NKG7
P2RX1
EPSTI1
GNA15
CCL4
IL2RB
AC008764.10
HEATR9
VAV1
LAX1
CD27
SELL
LTB
RUFY4
AL353795.3
IL1B
TMC8
RGS1
CD6
ADAM19
AL671883.2
DRAIC
IFI30
STAT1
CSF2RB
HCAR2
CRYBG1
IL18RAP
RELT
TTC24
NLRP1
PTPRE
ANTXRLP1
NLRC3
CD300E
TOMM20P2
AC004687.1
CD3D
RUBCNL
AC104695.3
AC025580.2
SH2D2A
LCK
AC015911.3
AC090559.1
RNU6-1010P
DENND2D
RPS16P5
LINC01436
